shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
i1_shp,-12.37345,130.88048,0,
i1_shp,-12.373013,130.880328,1,
i1_shp,-12.372924,130.880126,2,
i1_shp,-12.372327,130.880213,3,
i1_shp,-12.371637,130.880595,4,
i1_shp,-12.369882,130.883487,5,
i1_shp,-12.368963,130.882929,6,
i1_shp,-12.367884,130.882241,7,
i1_shp,-12.367614,130.881963,8,
i1_shp,-12.367348,130.881263,9,
i1_shp,-12.365121,130.881816,10,
i1_shp,-12.365171,130.88235,11,
i1_shp,-12.36506,130.882772,12,
i1_shp,-12.364859,130.88312,13,
i1_shp,-12.364532,130.883357,14,
i1_shp,-12.364817,130.883892,15,
i1_shp,-12.364977,130.884353,16,
i1_shp,-12.365045,130.884942,17,
i1_shp,-12.365057,130.885751,18,
i1_shp,-12.359272,130.88582,19,
i1_shp,-12.359056,130.885726,20,
i1_shp,-12.359003,130.885542,21,
i1_shp,-12.359148,130.882932,22,
i1_shp,-12.356183,130.882892,23,
i1_shp,-12.35615,130.882469,24,
i1_shp,-12.356183,130.882892,25,
i1_shp,-12.359148,130.882932,26,
i1_shp,-12.359347,130.880212,27,
i1_shp,-12.361642,130.880412,28,
i1_shp,-12.361878,130.877637,29,
i1_shp,-12.362007,130.877271,30,
i1_shp,-12.362172,130.876941,31,
i1_shp,-12.362573,130.876484,32,
i1_shp,-12.362846,130.876229,33,
i1_shp,-12.363136,130.87601,34,
i1_shp,-12.363553,130.875866,35,
i1_shp,-12.363747,130.876511,36,
i1_shp,-12.365975,130.875957,37,
i1_shp,-12.365589,130.874244,38,
i1_shp,-12.36513,130.872567,39,
i1_shp,-12.364867,130.87148,40,
i1_shp,-12.365754,130.871229,41,
i1_shp,-12.366658,130.871309,42,
i1_shp,-12.367543,130.871426,43,
i1_shp,-12.367465,130.872143,44,
i1_shp,-12.367482,130.872363,45,
i1_shp,-12.367552,130.872621,46,
i1_shp,-12.367871,130.873672,47,
i1_shp,-12.365589,130.874244,48,
i1_shp,-12.365975,130.875957,49,
i1_shp,-12.366151,130.876565,50,
i1_shp,-12.368379,130.875955,51,
i1_shp,-12.369412,130.875632,52,
i1_shp,-12.369919,130.875525,53,
i1_shp,-12.370353,130.875473,54,
i1_shp,-12.371559,130.876217,55,
i1_shp,-12.371778,130.875925,56,
i1_shp,-12.371871,130.875576,57,
i1_shp,-12.371837,130.875226,58,
i1_shp,-12.371233,130.873604,59,
i1_shp,-12.371058,130.87283,60,
i1_shp,-12.373285,130.872313,61,
i1_shp,-12.373639,130.873419,62,
i1_shp,-12.37387,130.873935,63,
i1_shp,-12.374587,130.874823,64,
i1_shp,-12.375019,130.875212,65,
i1_shp,-12.375696,130.876559,66,
i1_shp,-12.376053,130.877261,67,
i1_shp,-12.376814,130.879583,68,
i1_shp,-12.37464,130.880266,69,
i1_shp,-12.374351,130.880301,70,
i1_shp,-12.373068,130.880126,71,
i1_shp,-12.373013,130.880328,72,
i1_shp,-12.3736,130.88076,73,
i1a_shp,-12.37345,130.88048,0,
i1a_shp,-12.373013,130.880328,1,
i1a_shp,-12.372924,130.880126,2,
i1a_shp,-12.372327,130.880213,3,
i1a_shp,-12.371637,130.880595,4,
i1a_shp,-12.369882,130.883487,5,
i1a_shp,-12.368963,130.882929,6,
i1a_shp,-12.367865,130.884944,7,
i1a_shp,-12.367374,130.885418,8,
i1a_shp,-12.366685,130.885707,9,
i1a_shp,-12.365654,130.885774,10,
i1a_shp,-12.365057,130.885751,11,
i1a_shp,-12.359272,130.88582,12,
i1a_shp,-12.359056,130.885726,13,
i1a_shp,-12.359003,130.885542,14,
