stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
OOBUS003,Casuarina Interchange 003,This stop is located on Bradshore Tcc on the western side of Casuarina Shoping Square,-12.37345,130.88048,1
OOBUS004,Trower 004,This stop is located at 301 Trower Rd opposite Henbury School,-12.36928,130.88298,1
OOBUS005,Delamere 005,This stop is located at 3 Delamere St opposite Dripstone High School,-12.36686,130.88125,1
OOBUS006,Willaroo 006,This stop is located at 12 Willaroo St opposite Dripstone High School,-12.36489,130.88419,1
OOBUS007,Henbury 007,This stop is located at 77 Henbury Ave opposite Tracey Village All Sports Club,-12.36167,130.88571,1
OOBUS008,Private Hospital 008,This stop is located on the corner of Florey Ave and Hippocrates Rd,-12.35859,130.88279,1
OOBUS009,Hospital Precinct 009,This stop is located at the Main entrance to Royal Darwin Public Hospital Florey Ave,-12.35611,130.8826,1
OOBUS010,Rocklands 100,This stop is located at 100 Rocklands Drive,-12.35932,130.88215,1
OOBUS011,10 Manbulloo 011,This stop is located at 10 Manbulloo St,-12.36049,130.88033,1
OOBUS012,Tiwi Shops 012,"This stop is located at Tiwi Gardens Rd, Adj to Tiwi Shops",-12.36224,130.87688,1
OOBUS013,Erldunda 013,This stop is located at 4 Erldunda St,-12.3653,130.87611,1
OOBUS014,Trower 014,This stop is located opposite 408 Trower Rd,-12.3653,130.8729,1
OOBUS015,Omeo Street,This stop is located at 13 Omeo St,-12.36703,130.87133,1
OOBUS016,Ellengowen 016,This stop is located at 53 Ellengowen St,-12.36669,130.87389,1
OOBUS017,Nakara Shops 017,"This stop is located at Macredie St, Adj to Park, near shops",-12.36946,130.87567,1
OOBUS018,Buchanan 018,This stop is located at 27 Buchanan Tce next to Park,-12.37168,130.87473,1
OOBUS019,Ellengowen CDU 019,This stop is located in Ellengowen Drive opposite Charles Darwin University,-12.37247,130.87245,1
OOBUS020,Dripstone 020,This stop is located on Dripstone Rd opposite University Football Park,-12.37372,130.87382,1
OOBUS021,Nungalinya College 021,This stop is located on Dripstone Rd next to Nungalinya College,-12.37525,130.87577,1
OOBUS023,Swimming Pool 023,This stop is located in  Angelo St opposite the Swimming Pool,-12.37355,130.88519,1
OOBUS024,Gsell 024,This stop is located at 51 Gsell St opposite Wanguri  Primary School,-12.37053,130.8863,1
OOBUS025,Tambling 025,This stop is located at 20 Tambling Tce,-12.36611,130.88937,1
OOBUS026,Wanguri Shops 026,"This stop is located at 74 Wanguri Tce, opposite Wanguri Shops",-12.36905,130.88948,1
OOBUS027,Canaris 027,This stop is located at 8 Canaris St,-12.37077,130.89061,1
OOBUS028,Lee Point 028,This stop is located at 207 Lee Point Rd,-12.3698,130.89171,1
OOBUS029,VRD 028,This stop is located at 5 VRD Drive,-12.36887,130.89305,1
OOBUS030,VRD 030,This stop is located at 49 VRD Drive,-12.37057,130.89694,1
OOBUS031,Leanyer 031,This stop is located at 75 Leanyer Drive,-12.37224,130.89856,1
OOBUS032,Leanyer 032,"This stop is located on Leanyer Drive, Opp St Andrews School",-12.37259,130.89961,1
OOBUS033,Leanyer Primary School 033,"This stop is located on Leanyer Drive, Opp Leanyer School",-12.37546,130.90056,1
OOBUS034,Leanyer 034,This stop is located at L4272 Leanyer Drive,-12.37807,130.90195,1
OOBUS035,Leanyer 035,This stop is located at 175 Leanyer Drive,-12.38021,130.90349,1
OOBUS036,Leanyer Drive 036,This stop is located on the corner of Leanyer Drive and Vanderlin Drive,-12.38209,130.90253,1
OOBUS037,Vanderlin 037,"This stop is located on Vanderlin Drive, Adj to Darwin City Council",-12.38362,130.90264,1
OOBUS038,Patterson 038,"This stop is located on Patterson St, Opp Wulagi Crescent",-12.3867,130.9034,1
OOBUS039,Wulagi 039,This stop is located at 70 Wulagi Crescent,-12.38476,130.89948,1
OOBUS040,Wulagi Shops 040,"This stop is located on Brolga St, Opp Shops",-12.38389,130.89401,1
OOBUS041,Jabiru 041,This stop is located at 34 Jabiru St,-12.38156,130.89429,1
OOBUS042,Jabiru 042,This stop is located at L1627 Jabiru St,-12.3808,130.89132,1
OOBUS043,Wagaman Shops 043,"This stop is located on Wagaman Tce, Adj Wagaman Shops",-12.38028,130.88681,1
OOBUS044,Wagaman 044,"This stop is located on Wagaman Tce, Adj Wagaman School",-12.37962,130.88369,1
OOBUS045,Limmen 045,This stop is located at 33 Limmen St,-12.37961,130.88192,1
OOBUS046,Trower 046,"This stop is located on Trower Rd, Opp Motor Vehicle Registry",-12.37377,130.88326,1
OOBUS047,Scaturchio 047,"This stop is located on Scaturchio St, Opp Ruis Gym",-12.37209,130.88206,1
OOBUS049,Alawa Crescent,"This stop is located at 212 Trower Rd, Opp Alawa Cres",-12.38043,130.88066,1
OOBUS050,Casuarina Senior College 050,"This stop is located on Trower Rd, Adj to Casuarina Senior College",-12.38232,130.87852,1
OOBUS051,Trower 051,This stop is located at 156 Trower Rd,-12.38306,130.8748,1
OOBUS052,Jingili 052,This stop is located at 72 Jingili Tce,-12.38428,130.87368,1
OOBUS053,Jingili School,This stop is located on Jingili Tce Adj to Jingili School ,-12.38662,130.8733,1
OOBUS054,Jingili Shops 054,"This stop is located on Jingili Tce, Adj to Jingili Shops",-12.38947,130.87498,1
OOBUS055,Scales 055,This stop is located at 9 Scales St,-12.39009,130.87885,1
OOBUS056,Moil Shops 056,"This stop is located on Moil Cres, Adj to Moil shops",-12.39116,130.88178,1
OOBUS057,Lee Point 057,"This stop is located on Lee Point Rd, Adj to Moil Cres",-12.39072,130.88404,1
OOBUS058,Yanyula 058,This stop is located at 13 Yanyula Drive,-12.38983,130.88726,1
OOBUS059,Anula Shops 059,"This stop is located on Yanyula Drive, Adj to Anula Shops",-12.39238,130.89095,1
OOBUS060,Springhill 060,This stop is located at 3 Springhill St,-12.39195,130.89488,1
OOBUS061,Sanderson High School 061,"This stop is located on Mathews Road, Adj to park",-12.39021,130.89655,1
