from_stop_id,to_stop_id,transfer_type,min_transfer_time
OOBUS003,OOBUS758,2,180
OOBUS020,OOBUS020,0,
OOBUS037,OOBUS037,0,
OOBUS045,OOBUS049,2,180
OOBUS069,OOBUS326,2,180
OOBUS086,OOBUS086,0,
OOBUS096,OOBUS096,0,
OOBUS096,OOBUS166,2,180
OOBUS107,OOBUS107,0,
OOBUS118,OOBUS118,0,
OOBUS120,OOBUS120,0,
OOBUS150,OOBUS150,0,
OOBUS158,OOBUS166,2,120
OOBUS180,OOBUS180,0,
OOBUS180,OOBUS069,2,120
OOBUS180,OOBUS326,2,180
OOBUS195,OOBUS196,2,300
OOBUS196,OOBUS283,2,180
OOBUS227,OOBUS227,0,
OOBUS270,OOBUS270,0,
OOBUS283,OOBUS331,2,180
OOBUS284,OOBUS195,2,300
OOBUS288,OOBUS288,0,
OOBUS310,OOBUS106,2,180
OOBUS326,OOBUS069,2,120
OOBUS340,OOBUS340,0,
OOBUS353,OOBUS498,2,180
OOBUS386,OOBUS336,2,300
OOBUS498,OOBUS353,2,120
OOBUS505,OOBUS505,0,
OOBUS569,OOBUS758,2,180
OOBUS581,OOBUS581,0,
OOBUS758,OOBUS003,2,120
OOBUS758,OOBUS569,2,120
OOBUS761,OOBUS761,0,
OOBUS769,OOBUS769,0,
